"post_id","Page.Likes.at.Posting","Likes","Comments","Shares","Love","Wow","Haha","Sad","Angry","Thankful","Post.Views","Total.Views","language","plurality","unigrams_total","gna_unigrams","lna_unigrams","bigrams_total","gna_bigrams","lna_bigrams","post_date","page_id"
1,128122,27195,5824,12101,3014,109,968,55,85,0,509076,1334436,"arabic","Egypt",15,0,1,7,0,0,2019-04-18,357
2,7503744,16648,2298,6065,437,177,899,92,883,0,1940728,2150663,"arabic","Qatar",39,0,1,13,0,0,2019-04-05,1204
3,129875,6609,1175,3012,192,36,860,12,15,0,365806,618220,"arabic","Libya",31,0,2,11,0,0,2019-04-08,1261
4,23160301,4070,793,1436,35,120,77,65,657,0,0,0,"arabic","Qatar",29,0,0,13,0,0,2019-04-07,58
5,13249868,10956,2610,1400,273,32,474,16,107,0,727579,746212,"arabic","Location hidden",17,0,0,10,0,0,2019-04-08,850
6,6546263,1563,353,1321,13,34,753,154,69,0,0,0,"arabic","Tunisia",29,0,0,17,0,0,2019-03-31,455
7,15052797,4674,345,902,166,32,144,7,89,0,0,0,"arabic","Russia",11,0,0,5,0,0,2019-04-24,548
8,10856206,3503,521,790,154,9,217,7,26,0,0,0,"arabic","Egypt",29,0,1,12,0,0,2019-04-04,952
9,385086,1645,298,774,282,13,110,3,1,0,0,0,"arabic","Algeria",36,0,0,16,0,0,2019-04-06,700
10,23160301,1778,459,752,18,25,66,24,213,0,73587,88247,"arabic","Qatar",10,0,0,7,0,0,2019-04-07,58
11,4934906,10685,1140,693,49,46,341,18,556,0,0,0,"arabic","Location hidden",36,0,0,13,0,0,2019-04-12,112
12,13252513,2978,471,672,227,10,98,5,7,0,160114,186899,"arabic","Qatar",12,1,0,3,0,0,2019-04-07,1252
13,216425,169,17,623,3,0,4,1,0,0,3671,18459,"arabic","Tunisia",17,0,0,8,0,0,2019-04-08,40
14,13258630,1568,299,609,94,4,63,7,3,0,58088,66480,"arabic","Qatar",12,0,0,7,1,0,2019-04-10,1252
15,2095195,607,88,607,3,7,33,11,70,0,0,0,"arabic","Qatar",31,0,0,14,0,0,2019-04-16,864
16,3165220,1022,427,595,11,66,266,17,47,0,0,0,"arabic","Tunisia",21,0,2,8,0,0,2019-04-06,569
17,4941071,9550,525,592,44,40,253,13,100,0,0,0,"arabic","Location hidden",37,0,0,17,0,0,2019-04-14,112
18,814441,683,139,591,17,23,9,7,27,0,71622,78626,"arabic","Tunisia",17,0,0,5,0,0,2019-04-14,424
19,23190718,1582,301,591,12,15,16,35,233,0,122976,133594,"arabic","Qatar",19,0,0,15,0,0,2019-04-26,58
20,1184091,6255,2285,587,19,378,93,918,199,0,0,0,"arabic","Libya",49,0,0,21,0,0,2019-04-14,1455
21,12075207,6664,478,577,519,34,150,30,13,0,0,0,"arabic","Location hidden",14,0,0,7,0,0,2019-04-06,1104
22,2104820,2643,474,571,29,41,74,147,247,0,0,0,"arabic","Qatar",27,0,0,10,0,0,2019-04-28,864
23,12076469,4575,602,562,61,49,197,93,807,0,0,0,"arabic","Location hidden",22,0,0,11,0,0,2019-04-08,1104
24,815255,560,195,521,5,11,20,14,62,0,50658,58669,"arabic","Tunisia",27,0,0,13,0,0,2019-04-18,424
25,15053739,2617,2136,516,415,10,101,13,26,0,82866,102569,"arabic","Russia",10,0,0,6,0,0,2019-04-05,548
26,200454,1667,376,510,51,7,14,158,15,0,31816,68795,"arabic","Libya",78,0,0,32,0,0,2019-04-16,959
27,594313,3071,410,501,8,95,55,9,149,0,70422,116464,"arabic","Location hidden",48,0,0,23,0,0,2019-04-25,1131
28,1780387,21342,2795,490,1314,6,7,1082,6,0,0,0,"arabic","UK",28,0,0,20,0,0,2019-04-10,1338
29,1780387,8042,1209,474,545,98,81,13,17,0,128530,155553,"arabic","UK",16,0,0,11,0,0,2019-04-10,1338
30,969989,623,130,467,4,19,212,53,23,0,0,0,"arabic","Tunisia",29,0,0,17,0,0,2019-03-31,456
31,1729894,3564,181,462,14,17,19,78,365,0,0,0,"arabic","Qatar",27,0,0,8,0,0,2019-04-29,428
32,7497242,860,330,460,4,7,40,8,188,0,0,0,"arabic","Palestine",31,0,0,13,0,0,2019-04-08,568
33,173284,465,56,438,8,1,10,0,0,0,12335,24675,"arabic","Libya",11,0,0,7,0,0,2019-04-08,989
34,768823,8097,582,422,152,7,107,3,6,0,265649,315898,"arabic","Tunisia",9,0,0,5,0,0,2019-04-05,890
